"","Electors","Candidate","Color"
"1",259,"Republican","#FF0000"
"2",273,"Democrat","#0000FF"
"3",269,"Republican","#FF0000"
"4",297,"Democrat","#0000FF"
"5",314,"Democrat","#0000FF"
"6",233,"Republican","#FF0000"
"7",263,"Republican","#FF0000"
"8",182,"Republican","#FF0000"
"9",302,"Democrat","#0000FF"
"10",292,"Democrat","#0000FF"
"11",216,"Republican","#FF0000"
"12",288,"Democrat","#0000FF"
"13",271,"Democrat","#0000FF"
"14",327,"Democrat","#0000FF"
"15",181,"Republican","#FF0000"
"16",403,"Democrat","#0000FF"
"17",262,"Republican","#FF0000"
"18",256,"Republican","#FF0000"
"19",255,"Republican","#FF0000"
"20",243,"Republican","#FF0000"
"21",195,"Republican","#FF0000"
"22",323,"Democrat","#0000FF"
"23",226,"Republican","#FF0000"
"24",245,"Republican","#FF0000"
"25",244,"Republican","#FF0000"
"26",359,"Democrat","#0000FF"
"27",317,"Democrat","#0000FF"
"28",263,"Republican","#FF0000"
"29",238,"Republican","#FF0000"
"30",207,"Republican","#FF0000"
"31",349,"Democrat","#0000FF"
"32",237,"Republican","#FF0000"
"33",272,"Democrat","#0000FF"
"34",356,"Democrat","#0000FF"
"35",398,"Democrat","#0000FF"
"36",347,"Democrat","#0000FF"
"37",171,"Republican","#FF0000"
"38",154,"Republican","#FF0000"
"39",298,"Democrat","#0000FF"
"40",294,"Democrat","#0000FF"
"41",331,"Democrat","#0000FF"
"42",246,"Republican","#FF0000"
"43",384,"Democrat","#0000FF"
"44",330,"Democrat","#0000FF"
"45",292,"Democrat","#0000FF"
"46",249,"Republican","#FF0000"
"47",308,"Democrat","#0000FF"
"48",232,"Republican","#FF0000"
"49",271,"Democrat","#0000FF"
"50",260,"Republican","#FF0000"
"51",389,"Democrat","#0000FF"
"52",243,"Republican","#FF0000"
"53",260,"Republican","#FF0000"
"54",292,"Democrat","#0000FF"
"55",242,"Republican","#FF0000"
"56",228,"Republican","#FF0000"
"57",276,"Democrat","#0000FF"
"58",303,"Democrat","#0000FF"
"59",242,"Republican","#FF0000"
"60",257,"Republican","#FF0000"
"61",194,"Republican","#FF0000"
"62",253,"Republican","#FF0000"
"63",284,"Democrat","#0000FF"
"64",209,"Republican","#FF0000"
"65",326,"Democrat","#0000FF"
"66",317,"Democrat","#0000FF"
"67",238,"Republican","#FF0000"
"68",224,"Republican","#FF0000"
"69",373,"Democrat","#0000FF"
"70",308,"Democrat","#0000FF"
"71",202,"Republican","#FF0000"
"72",375,"Democrat","#0000FF"
"73",480,"Democrat","#0000FF"
"74",317,"Democrat","#0000FF"
"75",219,"Republican","#FF0000"
"76",339,"Democrat","#0000FF"
"77",271,"Democrat","#0000FF"
"78",229,"Republican","#FF0000"
"79",259,"Republican","#FF0000"
"80",222,"Republican","#FF0000"
"81",319,"Democrat","#0000FF"
"82",267,"Republican","#FF0000"
"83",312,"Democrat","#0000FF"
"84",360,"Democrat","#0000FF"
"85",206,"Republican","#FF0000"
"86",383,"Democrat","#0000FF"
"87",319,"Democrat","#0000FF"
"88",355,"Democrat","#0000FF"
"89",242,"Republican","#FF0000"
"90",348,"Democrat","#0000FF"
"91",214,"Republican","#FF0000"
"92",287,"Democrat","#0000FF"
"93",322,"Democrat","#0000FF"
"94",270,"Democrat","#0000FF"
"95",240,"Republican","#FF0000"
"96",520,"Democrat","#0000FF"
"97",425,"Democrat","#0000FF"
"98",319,"Democrat","#0000FF"
"99",325,"Democrat","#0000FF"
"100",322,"Democrat","#0000FF"
"101",427,"Democrat","#0000FF"
"102",361,"Democrat","#0000FF"
"103",243,"Republican","#FF0000"
"104",219,"Republican","#FF0000"
