"","state","prob"
"1","Alabama",0.00175
"2","Alaska",0.09375
"3","Arizona",0.52275
"4","Arkansas",0.002
"5","California",0.999
"6","Colorado",0.9575
"7","Connecticut",0.98625
"8","Delaware",0.96975
"9","District of Columbia",1
"10","Florida",0.27025
"11","Georgia",0.49625
"12","Hawaii",0.97
"13","Idaho",0.0045
"14","Illinois",0.97775
"15","Indiana",0.076
"16","Iowa",0.14825
"17","Kansas",0.02825
"18","Kentucky",0.00225
"19","Louisiana",0.0095
"20","Maine",0.803
"21","Maryland",0.99975
"22","Massachusetts",0.99975
"23","Michigan",0.60025
"24","Minnesota",0.804
"25","Mississippi",0.016
"26","Missouri",0.02225
"27","Montana",0.07875
"28","Nebraska",0.035
"29","Nevada",0.62225
"30","New Hampshire",0.814
"31","New Jersey",0.97425
"32","New Mexico",0.9005
"33","New York",0.99375
"34","North Carolina",0.4035
"35","North Dakota",0.01275
"36","Ohio",0.118
"37","Oklahoma",0
"38","Oregon",0.97425
"39","Pennsylvania",0.53925
"40","Rhode Island",0.9765
"41","South Carolina",0.046
"42","South Dakota",0.01425
"43","Tennessee",5e-04
"44","Texas",0.24925
"45","Utah",0.06225
"46","Vermont",0.99625
"47","Virginia",0.91375
"48","Washington",0.99325
"49","West Virginia",0.00075
"50","Wisconsin",0.49825
"51","Wyoming",0.001
